Batch,ID,Name,Primary Domain,Blurring Line Angle,Location,Outreach Priority,Contact Method
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,271,Dr. Krishna Ella,Bharat Biotech Founder + Vaccine Innovation + Global Impact,"Founder/MD Bharat Biotech; Chikungunya, Zika, COVID-19 vaccine developer",National,Tier 1,LinkedIn; Biotech networks; Public health circles
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,272,Ankit Agarwal,Postdoctoral Researcher → Startup CEO (Imbed Biosciences),PhD + 4 years postdoc; Kauffman Fellow; medical device company founder,National,Tier 2,Biotech startup networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,273,Siddhant Goenka,Software Engineer + Indie Musician + AI Director,30-year-old engineer-musician-director; first-ever AI-generated music video; indie music circles,Kolkata,Tier 1,YouTube/Spotify; Social media active
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,274,Sumanth Borra,Software Engineer + Independent Musician (Tollywood),"Engineer by day, Tollywood musician by night; dual career management",Hyderabad,Tier 1,LinkedIn; Music + IT communities
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,275,Kalyan Moravineni,Engineer + Artist Manager + Music Industry Leader,Engineer → artist manager; managed A R Rahman; music industry transition,National,Tier 2,Music management networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,276,Vivek Vaidya,IIT Delhi Alumnus + Serial Tech Entrepreneur + Data/AI Pioneer,"IIT Delhi (MS Math + CS); founder Parsec Technologies; co-author ""Data Driven""",National,Tier 2,Tech entrepreneur networks; Data/AI circles
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,277,Prof. Dr. Hitendra Ghosh,"Visionary Innovator + ""Awakened Intelligence"" Philosophy","""Awakened intelligence"" philosophy; innovation + empathy + integrity integration",National,Tier 2,LinkedIn; Innovation networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,278,Vedant Madhavan,Record-Breaking Swimmer + STEM Innovator,National/international athlete; sports discipline + intellectual achievement,National,Tier 2,Sports + youth innovation networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,279,D. Gukesh,Chess Prodigy + Intellectual Leadership + Global Mind Sports Ambassador,World chess champion; youth influence on mental discipline + strategic thinking,National,Tier 1,Chess.com; Media appearances
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,280,Sheetal Devi,Women's Archery + Perseverance + Sportsmanship Exemplar,Rising force in women's archery; precision + perseverance + women's sports advancement,National,Tier 1,Sports networks; Women's sports
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,281,Aryabhata Legacy (Ancient Polymath Representation),Mathematician + Astronomer + Zero Concept Pioneer,Zero concept + pi calculation + Earth's rotation proposal (ancient India),Historical,Tier 3,Academic history references
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,282,Sushruta Legacy (Ancient Medical Polymath),Physician + Surgeon + Complex Medical Innovation Pioneer,"""Father of surgery""; Sushruta Samhita; cataract removal, plastic surgery pioneering",Historical,Tier 3,Medical history + Ayurveda networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,283,Rabindranath Tagore Legacy,Poet + Writer + Philosopher + Painter + Educator + Nobel Laureate,"Nobel Prize (Literature, 1913); Santiniketan experimental school founding; polymath ideal",Historical,Tier 3,Literature + education + philosophy
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,284,Homi J. Bhabha,Physicist + Nuclear Program Architect + Institution Builder + Visionary,"""Father of Indian nuclear program""; TIFR founder; physics + nation-building",Historical,Tier 3,Nuclear + physics research networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,285,Contemporary Polymath Researchers (Emerging Network),Multi-Disciplinary PhD Researchers Bridging Domains,Young faculty (30-40s) exemplifying researcher + founder + mentor roles; normalized multirole,National,Tier 1,University faculty networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,286,Dr. Suryanarayan,Biotechnology Pioneer + 30+ Years Industry Leadership,Biotech leader; 30 years R&D president; research + commercial pharma bridge,National,Tier 2,Biotech industry networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,287,PACE Program Researchers (Academic Innovation Research Scheme),Government-Funded Academic Researchers Translating to Startups,BIRAC's PACE program; academics converting research to PoC → companies,National,Tier 1,BIRAC platform; Research institutes
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,288,FITT-IIT Delhi Mentor Network (50+ Mentors),IIT Delhi Faculty + Entrepreneur Mentors for Student Startups,FITT mentor platform; systematic academic-industry bridge for students,Delhi,Tier 1,FITT platform; IIT Delhi
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,289,"IIT-Madras Incubation Ecosystem (240 Startups, ₹10,500 Crore Value)",India's Premier Academic Incubation Hub,"240 startups (8 years); ₹10,500 crore value; largest academic-to-startup pipeline",Madras,Tier 1,IIT-Madras networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,290,Research Parks at IITs (Industry-Sponsored Labs + Academic Research),Institutional Spaces Blurring Academic & Industry Research,IIT research parks + industry labs; simultaneous university research + collaboration,National,Tier 2,IIT administration networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,291,Global Innovation Index Improving India's Ranking (81→38),Policy-Driven Academic-Industry Bridge Enablement,"India's GII rank 81 (2014) → 38 (2025); 200,000 startups (vs. 300-400 in 2014)",National,Tier 1,Government innovation networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,292,"Patent Filing Growth (India Now #6 Global, 50%+ Resident Filers)",Academic Researchers Entering Patent + Commercialization Ecosystems,50%+ patents by Indian residents; growing academic entrepreneur participation,National,Tier 2,Patent + IP networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,293,Vedic Mathematics + Coding Educators,Ancient Algorithm Teachers Bridging Sanskrit + Modern Programming,Sanskrit algorithms + NLP; Vedic mathematics + neural networks teaching,Educational networks,Tier 2,STEM education networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,294,BITS PhD-DRIVE Program Leadership,PhD Program Reimagined as Startup Incubator,Prof. V. Ramgopal Rao; PhD → startup track; goal: 100 deep-tech startups by 2030,Pilani,Tier 1,BITS networks; Deep-tech circles
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,295,Speciale Invest + BITS Partnership,Deep Tech VC Backing PhD Entrepreneurs,Speciale Invest (deep-tech VC); partnering with BITS on PhD startup funding,National,Tier 1,VC networks; Deep-tech startups
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,296,"Academia-Industry Policy Initiatives (Professors of Practice, IEDS)",Government-Backed Institutional Bridges,"""Professors of Practice""; Innovation & Entrepreneurship Development Centers (IEDCs)",National,Tier 1,Higher ed policy networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,297,National Education Policy 2020 (NEP) Implementation,Policy Foundation for Academic-Industry Bridging,NEP 2020 mandates industry-relevant curriculum + research partnerships,National,Tier 1,Education ministry networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,298,"Interdisciplinary PhD Research (Physics + Philosophy, Biology + Design)",Emerging Generation of Cross-Disciplinary Researchers,Growing PhD cohorts across traditional boundaries; new academic culture of polymathy,National,Tier 1,University PhD networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,299,Cross-Cultural Polymath Scientists (India + Global Integration),Indian Scientists Returning from Global Academia + Industry,Silicon Valley/MIT-trained scientists now founding deep-tech ventures in India,National,Tier 1,Global-India tech circles
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,300,Future-Ready Academic Entrepreneur (Emerging Voice),Next Generation Professor-Founder-Mentor,Young faculty (30-40s) exemplifying researcher + founder + mentor simultaneously; normalized,National,Tier 1,University + startup networks
